Sipariş_Kodu,Blok_ID,Blok_Tipi,Tedarikçi_Firma,Teslimat_Yeri,Ağırlık_Ton,İstasyon,Uygulayıcı_Ekip,Planlanan_Adam_Saat,Gerçekleşen_Adam_Saat,Planlanan_Maliyet_USD,Gerçekleşen_Maliyet_USD,NDT_Sonucu,Planlanan_Başlangıç,Planlanan_Bitiş,Gerçekleşen_Başlangıç,Gerçekleşen_Bitiş,Gecikme_Süresi_Gün,Gecikme_Nedeni,Durum,Tamamlanma_Yüzdesi
NB-501 (Kimyasal Tanker),BLK-001,Tank,Erdemir,Kuru Havuz B,82,Kesim,Dahili Ekip,168,168,44772,44772,Muaf,2025-11-18,2025-11-25,2025-11-18,2025-11-25,0,Yok,Tamamlandı,100
NB-501 (Kimyasal Tanker),BLK-001,Tank,Erdemir,Kuru Havuz B,82,Ön Montaj,Dahili Ekip,190,190,84132,84132,Geçti,2025-11-26,2025-12-15,2025-11-26,2025-12-15,0,Yok,Tamamlandı,100
NB-501 (Kimyasal Tanker),BLK-001,Tank,Erdemir,Kuru Havuz B,82,Montaj,Dahili Ekip,180,180,84870,84870,Geçti,2025-12-16,2025-12-31,2025-12-16,2025-12-31,0,Yok,Tamamlandı,100
NB-501 (Kimyasal Tanker),BLK-001,Tank,Erdemir,Kuru Havuz B,82,Kaynak,Taşeron - Omega,99,99,45100,45100,Geçti,2026-01-02,2026-01-13,2026-01-02,2026-01-13,0,Yok,Tamamlandı,100
NB-501 (Kimyasal Tanker),BLK-001,Tank,Erdemir,Kuru Havuz B,82,Boyama,Taşeron - Omega,216,216,77736,77736,Muaf,2026-01-15,2026-01-27,2026-01-15,2026-01-27,0,Yok,Tamamlandı,100
NB-501 (Kimyasal Tanker),BLK-001,Tank,Erdemir,Kuru Havuz B,82,Donatım,Taşeron - Alfa,132,188,52152,56268,Geçti,2026-01-29,2026-02-10,2026-01-29,2026-02-17,7,Malzeme Eksikliği,Tamamlandı,100
NB-501 (Kimyasal Tanker),BLK-002,Üst Bina,SSAB,Kuru Havuz A,117,Kesim,Dahili Ekip,66,157,21762,29665,Geçti,2025-12-27,2025-12-30,2025-12-27,2026-01-06,7,Hava Muhalefeti,Tamamlandı,100
NB-501 (Kimyasal Tanker),BLK-002,Üst Bina,SSAB,Kuru Havuz A,117,Ön Montaj,Taşeron - Beta,437,437,111150,111150,Geçti,2026-01-07,2026-01-26,2026-01-07,2026-01-26,0,Yok,Tamamlandı,100
NB-501 (Kimyasal Tanker),BLK-002,Üst Bina,SSAB,Kuru Havuz A,117,Montaj,Taşeron - Alfa,152,227,171171,175891,Geçti,2026-01-27,2026-02-15,2026-01-27,2026-02-20,5,Kalite Reddi (NDT),Tamamlandı,100
NB-501 (Kimyasal Tanker),BLK-002,Üst Bina,SSAB,Kuru Havuz A,117,Kaynak,Taşeron - Omega,135,135,52650,52650,Geçti,2026-02-21,2026-03-02,2026-02-21,2026-03-02,0,Yok,Tamamlandı,100
